Subject,Run,Acc,Kappa,F1
A01,1,89.65517241379311,0.7943262411347518,0.8960573476702509
A01,2,89.65517241379311,0.7943262411347518,0.8960573476702509
A01,3,89.65517241379311,0.7943262411347518,0.8960573476702509
A01,4,86.20689655172413,0.7251184834123223,0.861904761904762
A01,5,93.10344827586206,0.8625592417061612,0.930952380952381
A01,6,82.75862068965517,0.6555819477434679,0.8275862068965517
A01,7,86.20689655172413,0.7264150943396226,0.8605769230769231
A01,8,89.65517241379311,0.7943262411347518,0.8960573476702509
A01,9,89.65517241379311,0.7943262411347518,0.8960573476702509
A01,10,93.10344827586206,0.8625592417061612,0.930952380952381
A01,11,86.20689655172413,0.7251184834123223,0.861904761904762
A01,12,86.20689655172413,0.7264150943396226,0.8605769230769231
A01,13,86.20689655172413,0.7264150943396226,0.8605769230769231
A01,14,89.65517241379311,0.7943262411347518,0.8960573476702509
A01,15,86.20689655172413,0.7264150943396226,0.8605769230769231
A01,16,86.20689655172413,0.7264150943396226,0.8605769230769231
A01,17,89.65517241379311,0.7943262411347518,0.8960573476702509
A01,18,89.65517241379311,0.7943262411347518,0.8960573476702509
A01,19,93.10344827586206,0.8625592417061612,0.930952380952381
A01,20,89.65517241379311,0.7943262411347518,0.8960573476702509
A02,1,72.41379310344827,0.444976076555024,0.7211538461538461
A02,2,72.41379310344827,0.4528301886792453,0.7211538461538461
A02,3,58.620689655172406,0.17535545023696686,0.5857142857142856
A02,4,68.96551724137932,0.39160839160839156,0.6640926640926641
A02,5,65.51724137931035,0.31924882629107987,0.6446078431372549
A02,6,82.75862068965517,0.6539379474940334,0.8267622461170848
A02,7,58.620689655172406,0.17535545023696686,0.5857142857142856
A02,8,72.41379310344827,0.45023696682464465,0.7238095238095238
A02,9,82.75862068965517,0.6572104018912529,0.8267622461170848
A02,10,65.51724137931035,0.31924882629107987,0.6446078431372549
A02,11,75.86206896551724,0.517814726840855,0.7586206896551724
A02,12,62.06896551724138,0.23501199040767395,0.6133333333333333
A02,13,72.41379310344827,0.4476190476190476,0.7238095238095238
A02,14,62.06896551724138,0.24941176470588233,0.6133333333333333
A02,15,75.86206896551724,0.5223529411764706,0.7539393939393939
A02,16,72.41379310344827,0.444976076555024,0.7211538461538461
A02,17,72.41379310344827,0.4476190476190476,0.7238095238095238
A02,18,82.75862068965517,0.6539379474940334,0.8267622461170848
A02,19,68.96551724137932,0.3800475059382423,0.6896551724137931
A02,20,82.75862068965517,0.6572104018912529,0.8267622461170848
A03,1,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,2,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,3,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,4,93.10344827586206,0.8625592417061612,0.930952380952381
A03,5,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,6,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,7,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,8,93.10344827586206,0.8625592417061612,0.930952380952381
A03,9,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,10,93.10344827586206,0.8625592417061612,0.930952380952381
A03,11,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,12,96.55172413793103,0.9311163895486936,0.9655172413793104
