subject,acc,kappa,f1
A01,86.20689655172413,0.7251184834123223,0.861904761904762
A02,68.96551724137932,0.3710843373493976,0.675776397515528
A03,96.55172413793103,0.9307875894988067,0.9653524492234169
A04,79.3103448275862,0.5876777251184835,0.7928571428571429
A05,86.20689655172413,0.7211538461538461,0.857843137254902
A06,79.3103448275862,0.5857142857142856,0.7928571428571429
A07,82.75862068965517,0.6555819477434679,0.8275862068965517
A08,96.55172413793103,0.9311163895486936,0.9655172413793104
A09,86.20689655172413,0.7251184834123223,0.861904761904762
AVERAGE,84.67432950191571,0.6925947875501807,0.8446221379770577
