subject,acc,kappa,f1
A01,82.75862068965517,0.6539379474940334,0.8267622461170848
A02,75.86206896551724,0.513189448441247,0.7539393939393939
A03,100.0,1.0,1.0
A04,86.20689655172413,0.7251184834123223,0.861904761904762
A05,89.65517241379311,0.7913669064748201,0.8945454545454545
A06,79.3103448275862,0.5817307692307692,0.7867647058823529
A07,86.20689655172413,0.7251184834123223,0.861904761904762
A08,96.55172413793103,0.9311163895486936,0.9655172413793104
A09,82.75862068965517,0.6522781774580335,0.8242424242424242
AVERAGE,86.59003831417623,0.7304285117191378,0.8639534433239494
