subject,acc,kappa,f1
A01,89.65517241379311,0.7913669064748201,0.8945454545454545
A02,72.41379310344827,0.43961352657004826,0.7070707070707071
A03,96.55172413793103,0.9307875894988067,0.9653524492234169
A04,86.20689655172413,0.7251184834123223,0.861904761904762
A05,86.20689655172413,0.7224880382775121,0.8605769230769231
A06,65.51724137931035,0.2995169082125603,0.6338383838383839
A07,82.75862068965517,0.6572104018912529,0.8267622461170848
A08,96.55172413793103,0.9311163895486936,0.9655172413793104
A09,86.20689655172413,0.7238095238095238,0.861904761904762
AVERAGE,84.67432950191571,0.6912253075217267,0.8419414365623117
