subject,acc,kappa,f1
A01,79.3103448275862,0.5857142857142856,0.7928571428571429
A02,65.51724137931035,0.3127962085308057,0.6547619047619048
A03,100.0,1.0,1.0
A04,79.3103448275862,0.5857142857142856,0.7928571428571429
A05,82.75862068965517,0.6522781774580335,0.8242424242424242
A06,72.41379310344827,0.444976076555024,0.7211538461538461
A07,86.20689655172413,0.7251184834123223,0.861904761904762
A08,96.55172413793103,0.9311163895486936,0.9655172413793104
A09,79.3103448275862,0.5857142857142856,0.7928571428571429
AVERAGE,82.37547892720306,0.6470475769608596,0.8229057341126307
