subject,acc,kappa,f1
A01,79.3103448275862,0.5896226415094339,0.7908653846153846
A02,72.41379310344827,0.43961352657004826,0.7070707070707071
A03,93.10344827586206,0.861244019138756,0.9302884615384616
A04,75.86206896551724,0.5108433734939759,0.7478260869565218
A05,86.20689655172413,0.7211538461538461,0.857843137254902
A06,82.75862068965517,0.6539379474940334,0.8267622461170848
A07,82.75862068965517,0.6539379474940334,0.8267622461170848
A08,96.55172413793103,0.9311163895486936,0.9655172413793104
A09,82.75862068965517,0.6506024096385542,0.8198757763975155
AVERAGE,83.52490421455938,0.6680080112268194,0.8303123652718859
