subject,best_acc,avg_acc_20runs,kappa,f1,best_round,winning_round
A01,96.55172413793103,92.24137931034483,0.9311163895486936,0.9655172413793104,3.0,
A02,79.3103448275862,69.48275862068965,0.5857142857142856,0.7928571428571429,14.0,
A03,100.0,98.79310344827586,1.0,1.0,4.0,
A04,86.20689655172413,81.55172413793103,0.7224880382775121,0.8605769230769231,2.0,
A05,93.10344827586206,82.75862068965517,0.861244019138756,0.9302884615384616,6.0,
A06,75.86206896551724,70.86206896551724,0.513189448441247,0.7539393939393939,2.0,
A07,86.20689655172413,84.6551724137931,0.7251184834123223,0.861904761904762,2.0,
A08,96.55172413793103,96.55172413793102,0.9311163895486936,0.9655172413793104,1.0,
A09,89.65517241379311,83.62068965517241,0.7923627684964201,0.8960573476702509,19.0,
AVERAGE,89.272030651341,84.50191570881226,0.7847055358419923,0.8918509459717284,,-
