subject,best_acc,avg_acc_20runs,best_kappa,best_f1,winning_round
A01,96.55172413793103,91.89655172413792,0.9311163895486936,0.9655172413793104,7
A02,72.41379310344827,64.65517241379311,0.4423076923076923,0.7156862745098038,9
A03,100.0,100.0,1.0,1.0,1
A04,79.3103448275862,74.31034482758622,0.583732057416268,0.7908653846153846,14
A05,86.20689655172413,81.72413793103449,0.7224880382775121,0.8605769230769231,12
A06,75.86206896551724,72.58620689655173,0.5155131264916468,0.7574671445639187,1
A07,86.20689655172413,85.17241379310344,0.7251184834123223,0.861904761904762,1
A08,96.55172413793103,94.48275862068964,0.9311163895486936,0.9655172413793104,2
A09,86.20689655172413,84.13793103448276,0.7238095238095238,0.861904761904762,2
AVERAGE,86.59003831417625,83.2183908045977,0.7305779667569281,0.8643821925926862,-
