subject,best_acc,best_kappa,best_f1,winning_round
A01,89.65517241,0.792362768,0.896057348,7
A02,75.86206897,0.510843373,0.747826087,6
A03,100,1,1,2
A04,79.31034483,0.587677725,0.792857143,1
A05,86.20689655,0.721153846,0.857843137,2
A06,79.31034483,0.585714286,0.792857143,5
A07,86.20689655,0.725118483,0.861904762,3
A08,96.55172414,0.93111639,0.965517241,1
A09,86.20689655,0.726415094,0.860576923,17
AVERAGE,86.59003831,0.731155774,0.863937754,-
