subject,best_acc,avg_acc_20runs,kappa,f1,best_round,winning_round
A01,86.20689655172413,77.41379310344828,0.7251184834123223,0.861904761904762,4.0,
A02,68.96551724137932,56.72413793103449,0.3829787234042552,0.6881720430107527,10.0,
A03,93.10344827586206,89.65517241379311,0.861904761904762,0.930952380952381,6.0,
A04,72.41379310344827,63.79310344827586,0.4423076923076923,0.7156862745098038,8.0,
A05,72.41379310344827,57.241379310344826,0.444976076555024,0.7211538461538461,20.0,
A06,68.96551724137932,57.58620689655173,0.39160839160839156,0.6640926640926641,6.0,
A07,72.41379310344827,60.17241379310345,0.4423076923076923,0.7156862745098038,20.0,
A08,89.65517241379311,84.48275862068965,0.7913669064748201,0.8945454545454545,1.0,
A09,89.65517241379311,81.55172413793103,0.7933491686460807,0.896551724137931,10.0,
AVERAGE,79.31034482758622,69.84674329501917,0.58621309962456,0.7876383804241556,,-
