Subject,Run,Acc,Kappa,F1
A01,1,86.20689655172413,0.7251184834123223,0.861904761904762
A01,2,75.86206896551724,0.5245901639344263,0.7478260869565218
A01,3,89.65517241379311,0.7933491686460807,0.896551724137931
A01,4,86.20689655172413,0.7264150943396226,0.8605769230769231
A01,5,89.65517241379311,0.7933491686460807,0.896551724137931
A01,6,86.20689655172413,0.7264150943396226,0.8605769230769231
A01,7,86.20689655172413,0.7251184834123223,0.861904761904762
A01,8,86.20689655172413,0.7251184834123223,0.861904761904762
A01,9,89.65517241379311,0.7933491686460807,0.896551724137931
A01,10,89.65517241379311,0.7933491686460807,0.896551724137931
A01,11,86.20689655172413,0.7251184834123223,0.861904761904762
A01,12,82.75862068965517,0.6555819477434679,0.8275862068965517
A01,13,89.65517241379311,0.7943262411347518,0.8960573476702509
A01,14,75.86206896551724,0.5223529411764706,0.7539393939393939
A01,15,93.10344827586206,0.861904761904762,0.930952380952381
A01,16,82.75862068965517,0.6572104018912529,0.8267622461170848
A01,17,86.20689655172413,0.7251184834123223,0.861904761904762
A01,18,86.20689655172413,0.7264150943396226,0.8605769230769231
A01,19,93.10344827586206,0.861244019138756,0.9302884615384616
A01,20,79.3103448275862,0.5857142857142856,0.7928571428571429
A02,1,75.86206896551724,0.5108433734939759,0.7478260869565218
A02,2,65.51724137931035,0.30952380952380953,0.6547619047619048
A02,3,62.06896551724138,0.22384428223844288,0.5695006747638327
A02,4,75.86206896551724,0.5155131264916468,0.7574671445639187
A02,5,68.96551724137932,0.3770883054892602,0.6881720430107527
A02,6,65.51724137931035,0.3028846153846154,0.6446078431372549
A02,7,68.96551724137932,0.3770883054892602,0.6881720430107527
A02,8,68.96551724137932,0.36496350364963503,0.6477732793522267
A02,9,75.86206896551724,0.5155131264916468,0.7574671445639187
A02,10,65.51724137931035,0.2995169082125603,0.6338383838383839
A02,11,79.3103448275862,0.5896226415094339,0.7908653846153846
A02,12,82.75862068965517,0.6572104018912529,0.8267622461170848
A02,13,68.96551724137932,0.3680387409200969,0.6640926640926641
A02,14,65.51724137931035,0.2926829268292682,0.5972222222222222
A02,15,55.172413793103445,0.07371007371007376,0.41550387596899224
A02,16,65.51724137931035,0.32558139534883723,0.618421052631579
A02,17,75.86206896551724,0.5155131264916468,0.7574671445639187
A02,18,68.96551724137932,0.3829787234042552,0.6881720430107527
A02,19,79.3103448275862,0.583732057416268,0.7908653846153846
A02,20,62.06896551724138,0.22384428223844288,0.5695006747638327
A03,1,93.10344827586206,0.8625592417061612,0.930952380952381
A03,2,93.10344827586206,0.8625592417061612,0.930952380952381
A03,3,93.10344827586206,0.8625592417061612,0.930952380952381
A03,4,100.0,1.0,1.0
A03,5,100.0,1.0,1.0
A03,6,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,7,93.10344827586206,0.8625592417061612,0.930952380952381
A03,8,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,9,93.10344827586206,0.8625592417061612,0.930952380952381
A03,10,89.65517241379311,0.7943262411347518,0.8960573476702509
A03,11,100.0,1.0,1.0
A03,12,79.3103448275862,0.5915492957746479,0.7867647058823529
A03,13,100.0,1.0,1.0
A03,14,93.10344827586206,0.8625592417061612,0.930952380952381
A03,15,100.0,1.0,1.0
A03,16,96.55172413793103,0.9311163895486936,0.9655172413793104
A03,17,93.10344827586206,0.8625592417061612,0.930952380952381
A03,18,93.10344827586206,0.8625592417061612,0.930952380952381
A03,19,100.0,1.0,1.0
A03,20,100.0,1.0,1.0
A04,1,82.75862068965517,0.6539379474940334,0.8267622461170848
A04,2,86.20689655172413,0.7224880382775121,0.8605769230769231
A04,3,79.3103448275862,0.5797101449275361,0.7803030303030303
A04,4,89.65517241379311,0.7913669064748201,0.8945454545454545
A04,5,65.51724137931035,0.2926829268292682,0.5972222222222222
A04,6,89.65517241379311,0.7933491686460807,0.896551724137931
A04,7,75.86206896551724,0.5155131264916468,0.7574671445639187
A04,8,79.3103448275862,0.583732057416268,0.7908653846153846
A04,9,79.3103448275862,0.5797101449275361,0.7803030303030303
A04,10,79.3103448275862,0.5817307692307692,0.7867647058823529
A04,11,79.3103448275862,0.5797101449275361,0.7803030303030303
A04,12,89.65517241379311,0.7923627684964201,0.8960573476702509
A04,13,86.20689655172413,0.7224880382775121,0.8605769230769231
A04,14,72.41379310344827,0.4476190476190476,0.7238095238095238
A04,15,62.06896551724138,0.22004889975550113,0.5423242467718795
A04,16,75.86206896551724,0.5084745762711864,0.7387387387387387
A04,17,82.75862068965517,0.6539379474940334,0.8267622461170848
A04,18,62.06896551724138,0.22004889975550113,0.5423242467718795
A04,19,82.75862068965517,0.6506024096385542,0.8198757763975155
A04,20,72.41379310344827,0.4423076923076923,0.7156862745098038
A05,1,72.41379310344827,0.4423076923076923,0.7156862745098038
A05,2,62.06896551724138,0.22384428223844288,0.5695006747638327
A05,3,62.06896551724138,0.22004889975550113,0.5423242467718795
A05,4,58.620689655172406,0.15533980582524276,0.5421052631578948
A05,5,55.172413793103445,0.07371007371007376,0.41550387596899224
A05,6,68.96551724137932,0.3829787234042552,0.6881720430107527
A05,7,55.172413793103445,0.07371007371007376,0.41550387596899224
A05,8,51.724137931034484,0.0,0.3409090909090909
A05,9,68.96551724137932,0.3680387409200969,0.6640926640926641
A05,10,58.620689655172406,0.15533980582524276,0.5421052631578948
A05,11,55.172413793103445,0.12529002320185623,0.49122807017543857
A05,12,58.620689655172406,0.1470588235294119,0.48214285714285715
A05,13,58.620689655172406,0.1470588235294119,0.48214285714285715
A05,14,58.620689655172406,0.1594202898550724,0.5606060606060606
A05,15,51.724137931034484,0.0,0.3409090909090909
A05,16,65.51724137931035,0.30952380952380953,0.6547619047619048
A05,17,58.620689655172406,0.1594202898550724,0.5606060606060606
A05,18,62.06896551724138,0.2276029055690073,0.5894465894465895
A05,19,55.172413793103445,0.07371007371007376,0.41550387596899224
A05,20,55.172413793103445,0.12529002320185623,0.49122807017543857
A06,1,82.75862068965517,0.6555819477434679,0.8275862068965517
A06,2,82.75862068965517,0.6555819477434679,0.8275862068965517
A06,3,68.96551724137932,0.36496350364963503,0.6477732793522267
A06,4,75.86206896551724,0.5155131264916468,0.7574671445639187
A06,5,68.96551724137932,0.3710843373493976,0.675776397515528
A06,6,86.20689655172413,0.7224880382775121,0.8605769230769231
A06,7,75.86206896551724,0.5155131264916468,0.7574671445639187
A06,8,72.41379310344827,0.4423076923076923,0.7156862745098038
A06,9,82.75862068965517,0.6539379474940334,0.8267622461170848
A06,10,79.3103448275862,0.5896226415094339,0.7908653846153846
A06,11,79.3103448275862,0.5817307692307692,0.7867647058823529
A06,12,79.3103448275862,0.5857142857142856,0.7928571428571429
A06,13,68.96551724137932,0.37410071942446044,0.6836363636363636
A06,14,79.3103448275862,0.5817307692307692,0.7867647058823529
A06,15,79.3103448275862,0.583732057416268,0.7908653846153846
A06,16,75.86206896551724,0.517814726840855,0.7586206896551724
A06,17,79.3103448275862,0.5797101449275361,0.7803030303030303
A06,18,68.96551724137932,0.38875878220140525,0.675776397515528
A06,19,82.75862068965517,0.6539379474940334,0.8267622461170848
A06,20,79.3103448275862,0.583732057416268,0.7908653846153846
A07,1,65.51724137931035,0.2926829268292682,0.5972222222222222
A07,2,79.3103448275862,0.5817307692307692,0.7867647058823529
A07,3,58.620689655172406,0.1470588235294119,0.48214285714285715
A07,4,68.96551724137932,0.36496350364963503,0.6477732793522267
A07,5,62.06896551724138,0.2564102564102564,0.5894465894465895
A07,6,79.3103448275862,0.5797101449275361,0.7803030303030303
A07,7,93.10344827586206,0.861244019138756,0.9302884615384616
A07,8,89.65517241379311,0.7913669064748201,0.8945454545454545
A07,9,72.41379310344827,0.4368932038834952,0.6947368421052631
A07,10,65.51724137931035,0.2926829268292682,0.5972222222222222
A07,11,75.86206896551724,0.5084745762711864,0.7387387387387387
A07,12,75.86206896551724,0.5084745762711864,0.7387387387387387
A07,13,75.86206896551724,0.5084745762711864,0.7387387387387387
A07,14,75.86206896551724,0.5084745762711864,0.7387387387387387
A07,15,55.172413793103445,0.12529002320185623,0.49122807017543857
A07,16,72.41379310344827,0.4368932038834952,0.6947368421052631
A07,17,86.20689655172413,0.7224880382775121,0.8605769230769231
A07,18,82.75862068965517,0.6506024096385542,0.8198757763975155
A07,19,68.96551724137932,0.36496350364963503,0.6477732793522267
A07,20,86.20689655172413,0.7211538461538461,0.857843137254902
A08,1,100.0,1.0,1.0
A08,2,100.0,1.0,1.0
A08,3,89.65517241379311,0.7913669064748201,0.8945454545454545
A08,4,100.0,1.0,1.0
A08,5,86.20689655172413,0.7211538461538461,0.857843137254902
A08,6,100.0,1.0,1.0
A08,7,93.10344827586206,0.861244019138756,0.9302884615384616
A08,8,75.86206896551724,0.5084745762711864,0.7387387387387387
A08,9,100.0,1.0,1.0
A08,10,93.10344827586206,0.861244019138756,0.9302884615384616
A08,11,100.0,1.0,1.0
A08,12,100.0,1.0,1.0
A08,13,89.65517241379311,0.7913669064748201,0.8945454545454545
A08,14,79.3103448275862,0.5797101449275361,0.7803030303030303
A08,15,65.51724137931035,0.32242990654205606,0.6338383838383839
A08,16,93.10344827586206,0.861244019138756,0.9302884615384616
A08,17,100.0,1.0,1.0
A08,18,100.0,1.0,1.0
A08,19,82.75862068965517,0.6506024096385542,0.8198757763975155
A08,20,93.10344827586206,0.861244019138756,0.9302884615384616
A09,1,89.65517241379311,0.7913669064748201,0.8945454545454545
A09,2,86.20689655172413,0.7211538461538461,0.857843137254902
A09,3,93.10344827586206,0.861244019138756,0.9302884615384616
A09,4,89.65517241379311,0.7913669064748201,0.8945454545454545
A09,5,86.20689655172413,0.7211538461538461,0.857843137254902
A09,6,89.65517241379311,0.7913669064748201,0.8945454545454545
A09,7,89.65517241379311,0.7913669064748201,0.8945454545454545
A09,8,93.10344827586206,0.861244019138756,0.9302884615384616
A09,9,89.65517241379311,0.7913669064748201,0.8945454545454545
A09,10,86.20689655172413,0.7211538461538461,0.857843137254902
A09,11,86.20689655172413,0.7211538461538461,0.857843137254902
A09,12,89.65517241379311,0.7913669064748201,0.8945454545454545
A09,13,89.65517241379311,0.7913669064748201,0.8945454545454545
A09,14,89.65517241379311,0.7913669064748201,0.8945454545454545
A09,15,89.65517241379311,0.7923627684964201,0.8960573476702509
A09,16,93.10344827586206,0.861244019138756,0.9302884615384616
A09,17,93.10344827586206,0.861244019138756,0.9302884615384616
A09,18,86.20689655172413,0.7211538461538461,0.857843137254902
A09,19,86.20689655172413,0.7211538461538461,0.857843137254902
A09,20,86.20689655172413,0.7211538461538461,0.857843137254902
