subject,best_acc,best_kappa,best_f1,winning_round
A01,93.10344828,0.861904762,0.930952381,4
A02,75.86206897,0.515513126,0.757467145,20
A03,100,1,1,2
A04,86.20689655,0.723809524,0.861904762,5
A05,86.20689655,0.722488038,0.860576923,20
A06,75.86206897,0.510843373,0.747826087,3
A07,86.20689655,0.725118483,0.861904762,1
A08,96.55172414,0.93111639,0.965517241,1
A09,86.20689655,0.723809524,0.861904762,5
AVERAGE,87.35632184,0.746067025,0.872006007,-
