subject,best_acc,avg_acc_20runs,best_kappa,best_f1,winning_round
A01,96.55172413793103,89.82758620689654,0.9311163895486936,0.9655172413793104,1
A02,75.86206896551724,67.75862068965517,0.5108433734939759,0.7478260869565218,4
A03,100.0,98.27586206896552,1.0,1.0,2
A04,89.65517241379311,82.58620689655173,0.7923627684964201,0.8960573476702509,1
A05,86.20689655172413,81.89655172413794,0.7264150943396226,0.8605769230769231,3
A06,75.86206896551724,69.65517241379311,0.513189448441247,0.7539393939393939,3
A07,89.65517241379311,84.65517241379311,0.7943262411347518,0.8960573476702509,5
A08,96.55172413793103,96.37931034482756,0.9311163895486936,0.9655172413793104,1
A09,93.10344827586206,84.31034482758619,0.8625592417061612,0.930952380952381,19
AVERAGE,89.272030651341,83.9272030651341,0.7846587718566185,0.8907159958915936,-
